previous_crop,new_crop,compatibility,rotation_score,nutrient_effect,nitrogen_effect,root_pattern,water_compatibility,pest_disease_break,rotation_reason,recommendation,confidence,source_type,notes
Apple,Apple,Medium,0.65,Steady Perennial Uptake,Maintain organic mulching,Established Deep Rooting,Established irrigation cycle,Requires regular orchard sanitation,Continuous perennial cultivation of Apple; maintain soil health with inter-row cover crops.,Consider,High,Perennial Management Standard,Orchard/plantation systems require canopy and tree health monitoring.
Apple,Bajra (Pearl Millet),High,0.75,Healthy cross-family nutrient diversification,Standard balanced nutrient management,Alternates Deep Perennial Tree (150+ cm) with Deep Fibrous (60-100 cm),Adaptable to prevailing seasonal moisture,Effective interruption of specialized pests between different plant families,Favorable crop diversification: rotating from Fruit/Horticulture (Apple) to Cereal (Bajra (Pearl Millet)) maintains balanced soil biology.,Prefer,High,General Agronomic Rotation Principle,Follow standard package of practices.
Apple,Banana,Medium,0.65,Healthy cross-family nutrient diversification,Standard balanced nutrient management,Alternates Deep Perennial Tree (150+ cm) with Shallow to Deep Dense Mat (30-80 cm),Adaptable to prevailing seasonal moisture,Effective interruption of specialized pests between different plant families,Favorable crop diversification: rotating from Fruit/Horticulture (Apple) to Fruit/Horticulture (Banana) maintains balanced soil biology.,Consider,High,General Agronomic Rotation Principle,Follow standard package of practices.
Apple,Black Gram (Urad),High,0.75,Healthy cross-family nutrient diversification,Standard balanced nutrient management,Alternates Deep Perennial Tree (150+ cm) with Shallow Taproot (25-50 cm),Adaptable to prevailing seasonal moisture,Effective interruption of specialized pests between different plant families,Favorable crop diversification: rotating from Fruit/Horticulture (Apple) to Legume/Pulse (Black Gram (Urad)) maintains balanced soil biology.,Prefer,High,General Agronomic Rotation Principle,Follow standard package of practices.
Apple,Cashew,Medium,0.65,Healthy cross-family nutrient diversification,Standard balanced nutrient management,Alternates Deep Perennial Tree (150+ cm) with Deep Taproot (150-250 cm),Adaptable to prevailing seasonal moisture,Effective interruption of specialized pests between different plant families,Favorable crop diversification: rotating from Fruit/Horticulture (Apple) to Fruit/Horticulture (Cashew) maintains balanced soil biology.,Consider,High,General Agronomic Rotation Principle,Follow standard package of practices.
Apple,Castor,High,0.75,Healthy cross-family nutrient diversification,Standard balanced nutrient management,Alternates Deep Perennial Tree (150+ cm) with Deep Taproot (100-160 cm),Adaptable to prevailing seasonal moisture,Effective interruption of specialized pests between different plant families,Favorable crop diversification: rotating from Fruit/Horticulture (Apple) to Oilseed (Castor) maintains balanced soil biology.,Prefer,High,General Agronomic Rotation Principle,Follow standard package of practices.
Apple,Chickpea,High,0.75,Healthy cross-family nutrient diversification,Standard balanced nutrient management,Alternates Deep Perennial Tree (150+ cm) with Deep Taproot (60-100 cm),Adaptable to prevailing seasonal moisture,Effective interruption of specialized pests between different plant families,Favorable crop diversification: rotating from Fruit/Horticulture (Apple) to Legume/Pulse (Chickpea) maintains balanced soil biology.,Prefer,High,General Agronomic Rotation Principle,Follow standard package of practices.
Apple,Chilli,High,0.75,Healthy cross-family nutrient diversification,Standard balanced nutrient management,Alternates Deep Perennial Tree (150+ cm) with Moderate Taproot (30-60 cm),Adaptable to prevailing seasonal moisture,Effective interruption of specialized pests between different plant families,Favorable crop diversification: rotating from Fruit/Horticulture (Apple) to Spices (Chilli) maintains balanced soil biology.,Prefer,High,General Agronomic Rotation Principle,Follow standard package of practices.
Apple,Coconut,High,0.75,Healthy cross-family nutrient diversification,Standard balanced nutrient management,Alternates Deep Perennial Tree (150+ cm) with Dense Adventitious (100-200 cm),Adaptable to prevailing seasonal moisture,Effective interruption of specialized pests between different plant families,Favorable crop diversification: rotating from Fruit/Horticulture (Apple) to Plantation (Coconut) maintains balanced soil biology.,Prefer,High,General Agronomic Rotation Principle,Follow standard package of practices.
Apple,Coffee,High,0.75,Healthy cross-family nutrient diversification,Standard balanced nutrient management,Alternates Deep Perennial Tree (150+ cm) with Deep Perennial (150+ cm),Adaptable to prevailing seasonal moisture,Effective interruption of specialized pests between different plant families,Favorable crop diversification: rotating from Fruit/Horticulture (Apple) to Plantation (Coffee) maintains balanced soil biology.,Prefer,High,General Agronomic Rotation Principle,Follow standard package of practices.
